# original_frequency, f1, precision, recall
5.854999999999999961e-03,2.096774280071258545e-01,1.884057968854904175e-01,2.363636344671249390e-01
6.000000000000000152e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.224999999999999610e-03,1.866666525602340698e-01,3.181818127632141113e-01,1.320754736661911011e-01
3.795000000000000196e-03,5.555555969476699829e-02,1.666666716337203979e-01,3.333333507180213928e-02
6.952999999999999459e-02,5.861027836799621582e-01,5.083857178688049316e-01,6.918687820434570312e-01
2.990000000000000036e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000654e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.450000000000000067e-03,2.068965584039688110e-01,2.830188572406768799e-01,1.630434840917587280e-01
7.494999999999999926e-03,2.500000037252902985e-02,1.000000000000000000e+00,1.265822816640138626e-02
6.889000000000000679e-02,5.481283068656921387e-01,5.269922614097595215e-01,5.710306167602539062e-01
4.969999999999999592e-03,6.666666865348815918e-01,6.551724076271057129e-01,6.785714030265808105e-01
8.149999999999999693e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.585999999999999910e-02,8.852459192276000977e-01,8.544303774833679199e-01,9.183673262596130371e-01
8.920000000000000845e-03,5.310734510421752930e-01,5.465116500854492188e-01,5.164835453033447266e-01
1.378300000000000081e-01,4.985440075397491455e-01,4.185819029808044434e-01,6.162707209587097168e-01
2.959999999999999958e-03,1.142857223749160767e-01,2.000000029802322388e-01,7.999999821186065674e-02
1.010999999999999920e-02,3.411764800548553467e-01,4.393939375877380371e-01,2.788461446762084961e-01
5.810000000000000060e-03,2.888889014720916748e-01,4.814814925193786621e-01,2.063492089509963989e-01
1.670000000000000043e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.469999999999999994e-03,4.927536249160766602e-01,7.083333134651184082e-01,3.777777850627899170e-01
3.665500000000000008e-02,7.984496355056762695e-01,7.822784781455993652e-01,8.153034448623657227e-01
2.069999999999999792e-03,3.043477833271026611e-01,2.916666567325592041e-01,3.181818127632141113e-01
3.480000000000000020e-03,2.456140518188476562e-01,4.117647111415863037e-01,1.749999970197677612e-01
2.661000000000000171e-02,6.605166196823120117e-01,6.462093591690063477e-01,6.754717230796813965e-01
1.276700000000000057e-01,5.048859715461730957e-01,4.274682700634002686e-01,6.165473461151123047e-01
1.431999999999999940e-02,1.452514082193374634e-01,4.814814925193786621e-01,8.552631735801696777e-02
5.309999999999999616e-03,1.194029971957206726e-01,3.076923191547393799e-01,7.407407462596893311e-02
1.712500000000000133e-02,6.769230365753173828e-01,5.968992114067077637e-01,7.817258834838867188e-01
7.422649999999999526e-01,9.478389024734497070e-01,9.096813797950744629e-01,9.893376231193542480e-01
1.685000000000000083e-03,6.666666865348815918e-01,6.666666865348815918e-01,6.666666865348815918e-01
4.400000000000000157e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
